Atom,LightSpeed,Energy,Input
Ar,34.25899725,,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_34.25899725.inp
Ar,68.5179945,-322.6704748803035,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_68.5179945.inp
Ar,137.035989,-314.22810598451156,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_137.035989.inp
Ar,274.071978,-312.20316014367705,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_274.071978.inp
Ar,548.143956,-311.7020217745378,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_548.143956.inp
Ar,1096.287912,-311.5770520818862,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_1096.287912.inp
Ar,2192.575824,-311.5458292765241,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_2192.575824.inp
Ar,4385.151648,-311.53802479832456,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ar_4385.151648.inp
He,34.25899725,-2.839291531166314,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_34.25899725.inp
He,68.5179945,-2.8359478969046825,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_68.5179945.inp
He,137.035989,-2.835113585919773,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_137.035989.inp
He,274.071978,-2.8349051076361906,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_274.071978.inp
He,548.143956,-2.8348529942169054,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_548.143956.inp
He,1096.287912,-2.8348399662426234,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_1096.287912.inp
He,2192.575824,-2.834836709271838,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_2192.575824.inp
He,4385.151648,-2.8348358950306776,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/He_4385.151648.inp
Kr,34.25899725,,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_34.25899725.inp
Kr,68.5179945,,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_68.5179945.inp
Kr,137.035989,-1316.3562450247587,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_137.035989.inp
Kr,274.071978,-1281.7589717910473,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_274.071978.inp
Kr,548.143956,-1273.4617132987607,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_548.143956.inp
Kr,1096.287912,-1271.408353027975,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_1096.287912.inp
Kr,2192.575824,-1270.8963072227461,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_2192.575824.inp
Kr,4385.151648,-1270.7683764067604,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Kr_4385.151648.inp
Ne,34.25899725,-97.33843399730317,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_34.25899725.inp
Ne,68.5179945,-94.20254400965251,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_68.5179945.inp
Ne,137.035989,-93.45775185635574,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_137.035989.inp
Ne,274.071978,-93.27385896963037,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_274.071978.inp
Ne,548.143956,-93.22802774114481,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_548.143956.inp
Ne,1096.287912,-93.21657877397163,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_1096.287912.inp
Ne,2192.575824,-93.21371708321051,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_2192.575824.inp
Ne,4385.151648,-93.21300169464264,/cluster/home/ambr/projects/zora/mini-benchmark-gto-mw/noble-ions/calcs/Ne_4385.151648.inp