Atom,BasisSet,LightSpeed,Energy
Ar,ano-rcc-dzp,34.25899725,-349.532628672221
Ar,ano-rcc-dzp,68.5179945,-322.21283065371
Ar,ano-rcc-dzp,137.035989,-314.007932486948
Ar,ano-rcc-dzp,274.071978,-311.809773573069
Ar,ano-rcc-dzp,548.143956,-311.247468288048
Ar,ano-rcc-dzp,1096.287912,-311.105970305293
Ar,ano-rcc-dzp,2192.575824,-311.070535456264
Ar,ano-rcc-dzp,4385.151648,-311.061672923415
He,ano-rcc-dzp,34.25899725,-2.839068057611
He,ano-rcc-dzp,68.5179945,-2.835725072703
He,ano-rcc-dzp,137.035989,-2.834889321245
He,ano-rcc-dzp,274.071978,-2.834680382225
He,ano-rcc-dzp,548.143956,-2.834628147384
He,ano-rcc-dzp,1096.287912,-2.834615088668
He,ano-rcc-dzp,2192.575824,-2.834611823989
He,ano-rcc-dzp,4385.151648,-2.834611007819
Kr,ano-rcc-dzp,34.25899725,-1783.751268807429
Kr,ano-rcc-dzp,68.5179945,-1450.606781630369
Kr,ano-rcc-dzp,137.035989,-1311.711372996902
Kr,ano-rcc-dzp,274.071978,-1266.824625809059
Kr,ano-rcc-dzp,548.143956,-1253.885871537263
Kr,ano-rcc-dzp,1096.287912,-1250.405932241178
Kr,ano-rcc-dzp,2192.575824,-1249.510742069674
Kr,ano-rcc-dzp,4385.151648,-1249.285007267111
Ne,ano-rcc-dzp,34.25899725,-96.979000460445
Ne,ano-rcc-dzp,68.5179945,-94.188237561362
Ne,ano-rcc-dzp,137.035989,-93.444832853026
Ne,ano-rcc-dzp,274.071978,-93.255280136404
Ne,ano-rcc-dzp,548.143956,-93.207631378107
Ne,ano-rcc-dzp,1096.287912,-93.195702232642
Ne,ano-rcc-dzp,2192.575824,-93.192718874503
Ne,ano-rcc-dzp,4385.151648,-93.191972967786
Ar,ano-rcc-qzp,34.25899725,-349.908891509472
Ar,ano-rcc-qzp,68.5179945,-322.248373164708
Ar,ano-rcc-qzp,137.035989,-314.010904639322
Ar,ano-rcc-qzp,274.071978,-311.810114994681
Ar,ano-rcc-qzp,548.143956,-311.247561750806
Ar,ano-rcc-qzp,1096.287912,-311.106028798817
Ar,ano-rcc-qzp,2192.575824,-311.070586921524
Ar,ano-rcc-qzp,4385.151648,-311.061722739147
He,ano-rcc-qzp,34.25899725,-2.839230443535
He,ano-rcc-qzp,68.5179945,-2.835896695906
He,ano-rcc-qzp,137.035989,-2.835063812614
He,ano-rcc-qzp,274.071978,-2.834855625624
He,ano-rcc-qzp,548.143956,-2.834803580978
He,ano-rcc-qzp,1096.287912,-2.834790569948
He,ano-rcc-qzp,2192.575824,-2.834787317198
He,ano-rcc-qzp,4385.151648,-2.834786504012
Kr,ano-rcc-qzp,34.25899725,-1785.521285876546
Kr,ano-rcc-qzp,68.5179945,-1450.834944703285
Kr,ano-rcc-qzp,137.035989,-1311.714979158634
Kr,ano-rcc-qzp,274.071978,-1266.831577567189
Kr,ano-rcc-qzp,548.143956,-1253.901560012884
Kr,ano-rcc-qzp,1096.287912,-1250.424570294846
Kr,ano-rcc-qzp,2192.575824,-1249.53017932568
Kr,ano-rcc-qzp,4385.151648,-1249.30464863674
Ne,ano-rcc-qzp,34.25899725,-97.038945052872
Ne,ano-rcc-qzp,68.5179945,-94.191614004127
Ne,ano-rcc-qzp,137.035989,-93.444946335061
Ne,ano-rcc-qzp,274.071978,-93.255364123738
Ne,ano-rcc-qzp,548.143956,-93.207759309121
Ne,ano-rcc-qzp,1096.287912,-93.195844395258
Ne,ano-rcc-qzp,2192.575824,-93.192864798499
Ne,ano-rcc-qzp,4385.151648,-93.192119844855
Ar,ano-rcc-tzp,34.25899725,-349.679909591929
Ar,ano-rcc-tzp,68.5179945,-322.22737475428
Ar,ano-rcc-tzp,137.035989,-314.009319883752
Ar,ano-rcc-tzp,274.071978,-311.809986916379
Ar,ano-rcc-tzp,548.143956,-311.247545667549
Ar,ano-rcc-tzp,1096.287912,-311.106024086856
Ar,ano-rcc-tzp,2192.575824,-311.070583997637
Ar,ano-rcc-tzp,4385.151648,-311.061720196102
He,ano-rcc-tzp,34.25899725,-2.839156029807
He,ano-rcc-tzp,68.5179945,-2.835834768971
He,ano-rcc-tzp,137.035989,-2.835004828962
He,ano-rcc-tzp,274.071978,-2.834797366642
He,ano-rcc-tzp,548.143956,-2.834745502468
He,ano-rcc-tzp,1096.287912,-2.834732536512
He,ano-rcc-tzp,2192.575824,-2.834729295028
He,ano-rcc-tzp,4385.151648,-2.834728484658
Kr,ano-rcc-tzp,34.25899725,-1784.530589307014
Kr,ano-rcc-tzp,68.5179945,-1450.707636416929
Kr,ano-rcc-tzp,137.035989,-1311.713015691315
Kr,ano-rcc-tzp,274.071978,-1266.827616232447
Kr,ano-rcc-tzp,548.143956,-1253.892677200487
Kr,ano-rcc-tzp,1096.287912,-1250.41402868568
Kr,ano-rcc-tzp,2192.575824,-1249.519188408843
Kr,ano-rcc-tzp,4385.151648,-1249.293542977476
Ne,ano-rcc-tzp,34.25899725,-97.008669629648
Ne,ano-rcc-tzp,68.5179945,-94.190257897826
Ne,ano-rcc-tzp,137.035989,-93.444946227616
Ne,ano-rcc-tzp,274.071978,-93.255283670051
Ne,ano-rcc-tzp,548.143956,-93.207631484058
Ne,ano-rcc-tzp,1096.287912,-93.195703002975
Ne,ano-rcc-tzp,2192.575824,-93.192719906327
Ne,ano-rcc-tzp,4385.151648,-93.19197407095
Ar,cc-pcv5z,34.25899725,-360.490477444383
Ar,cc-pcv5z,68.5179945,-322.537893637564
Ar,cc-pcv5z,137.035989,-314.219473146195
Ar,cc-pcv5z,274.071978,-312.202639099888
Ar,cc-pcv5z,548.143956,-311.701993775424
Ar,cc-pcv5z,1096.287912,-311.577043547996
Ar,cc-pcv5z,2192.575824,-311.545818899381
Ar,cc-pcv5z,4385.151648,-311.538013538494
He,cc-pcv5z,34.25899725,-2.839179873055
He,cc-pcv5z,68.5179945,-2.835839482903
He,cc-pcv5z,137.035989,-2.835005498723
He,cc-pcv5z,274.071978,-2.834797071714
He,cc-pcv5z,548.143956,-2.834744969267
He,cc-pcv5z,1096.287912,-2.834731943924
He,cc-pcv5z,2192.575824,-2.834728687605
He,cc-pcv5z,4385.151648,-2.834727873527
Kr,cc-pcv5z,34.25899725,-2155.886588889125
Kr,cc-pcv5z,68.5179945,-1462.876891197027
Kr,cc-pcv5z,137.035989,-1315.391443638947
Kr,cc-pcv5z,274.071978,-1281.69735999509
Kr,cc-pcv5z,548.143956,-1273.457404785874
Kr,cc-pcv5z,1096.287912,-1271.407528390707
Kr,cc-pcv5z,2192.575824,-1270.895637815451
Kr,cc-pcv5z,4385.151648,-1270.767699863334
Ne,cc-pcv5z,34.25899725,-97.312732051164
Ne,cc-pcv5z,68.5179945,-94.200625268449
Ne,cc-pcv5z,137.035989,-93.45754857636
Ne,cc-pcv5z,274.071978,-93.273784686849
Ne,cc-pcv5z,548.143956,-93.22796437755
Ne,cc-pcv5z,1096.287912,-93.216516740183
Ne,cc-pcv5z,2192.575824,-93.213655294022
Ne,cc-pcv5z,4385.151648,-93.212939961404
Ar,cc-pcvdz,34.25899725,-349.611357134054
Ar,cc-pcvdz,68.5179945,-321.835163685961
Ar,cc-pcvdz,137.035989,-314.170593031632
Ar,cc-pcvdz,274.071978,-312.196449434148
Ar,cc-pcvdz,548.143956,-311.698773524816
Ar,cc-pcvdz,1096.287912,-311.574082917909
Ar,cc-pcvdz,2192.575824,-311.542893048096
Ar,cc-pcvdz,4385.151648,-311.535094500522
He,cc-pcvdz,34.25899725,-2.83091614405
He,cc-pcvdz,68.5179945,-2.827759077057
He,cc-pcvdz,137.035989,-2.826969692847
He,cc-pcvdz,274.071978,-2.826772339342
He,cc-pcvdz,548.143956,-2.826723000498
He,cc-pcvdz,1096.287912,-2.826710665757
He,cc-pcvdz,2192.575824,-2.82670758207
He,cc-pcvdz,4385.151648,-2.826706811149
Kr,cc-pcvdz,34.25899725,-1696.827766096295
Kr,cc-pcvdz,68.5179945,-1417.457967498839
Kr,cc-pcvdz,137.035989,-1312.009717820414
Kr,cc-pcvdz,274.071978,-1281.422845001261
Kr,cc-pcvdz,548.143956,-1273.41449568273
Kr,cc-pcvdz,1096.287912,-1271.386607638881
Kr,cc-pcvdz,2192.575824,-1270.877949496989
Kr,cc-pcvdz,4385.151648,-1270.750678237324
Ne,cc-pcvdz,34.25899725,-97.125039762894
Ne,cc-pcvdz,68.5179945,-94.184210336717
Ne,cc-pcvdz,137.035989,-93.453198943325
Ne,cc-pcvdz,274.071978,-93.270587269721
Ne,cc-pcvdz,548.143956,-93.224939554538
Ne,cc-pcvdz,1096.287912,-93.213527880317
Ne,cc-pcvdz,2192.575824,-93.210674976492
Ne,cc-pcvdz,4385.151648,-93.209961751437
Ar,cc-pcvqz,34.25899725,-358.513471809547
Ar,cc-pcvqz,68.5179945,-322.433581101071
Ar,cc-pcvqz,137.035989,-314.212101878192
Ar,cc-pcvqz,274.071978,-312.201768623743
Ar,cc-pcvqz,548.143956,-311.701677098178
Ar,cc-pcvqz,1096.287912,-311.576799452613
Ar,cc-pcvqz,2192.575824,-311.545588888729
Ar,cc-pcvqz,4385.151648,-311.537786796675
He,cc-pcvqz,34.25899725,-2.839008019021
He,cc-pcvqz,68.5179945,-2.835674689114
He,cc-pcvqz,137.035989,-2.834842175425
He,cc-pcvqz,274.071978,-2.834634097728
He,cc-pcvqz,548.143956,-2.834582081467
He,cc-pcvqz,1096.287912,-2.834569077599
He,cc-pcvqz,2192.575824,-2.834565826644
He,cc-pcvqz,4385.151648,-2.834565013906
Kr,cc-pcvqz,34.25899725,-2125.026830325632
Kr,cc-pcvqz,68.5179945,-1460.654915067412
Kr,cc-pcvqz,137.035989,-1315.258477643368
Kr,cc-pcvqz,274.071978,-1281.687262658425
Kr,cc-pcvqz,548.143956,-1273.455643880098
Kr,cc-pcvqz,1096.287912,-1271.406547525727
Kr,cc-pcvqz,2192.575824,-1270.894777882997
Kr,cc-pcvqz,4385.151648,-1270.766865883786
Ne,cc-pcvqz,34.25899725,-97.29697319509
Ne,cc-pcvqz,68.5179945,-94.199303674336
Ne,cc-pcvqz,137.035989,-93.457226276639
Ne,cc-pcvqz,274.071978,-93.273555005075
Ne,cc-pcvqz,548.143956,-93.227748238498
Ne,cc-pcvqz,1096.287912,-93.216303396551
Ne,cc-pcvqz,2192.575824,-93.213442612599
Ne,cc-pcvqz,4385.151648,-93.212727443244
Ar,cc-pcvtz,34.25899725,-353.757013879538
Ar,cc-pcvtz,68.5179945,-322.147136602099
Ar,cc-pcvtz,137.035989,-314.194007764521
Ar,cc-pcvtz,274.071978,-312.20044023783
Ar,cc-pcvtz,548.143956,-311.70139635157
Ar,cc-pcvtz,1096.287912,-311.576583806456
Ar,cc-pcvtz,2192.575824,-311.545377217024
Ar,cc-pcvtz,4385.151648,-311.537575349863
He,cc-pcvtz,34.25899725,-2.838494453184
He,cc-pcvtz,68.5179945,-2.835182404048
He,cc-pcvtz,137.035989,-2.83435468014
He,cc-pcvtz,274.071978,-2.83414776684
He,cc-pcvtz,548.143956,-2.834096039615
He,cc-pcvtz,1096.287912,-2.834083107877
He,cc-pcvtz,2192.575824,-2.834079874947
He,cc-pcvtz,4385.151648,-2.834079066715
Kr,cc-pcvtz,34.25899725,-1697.824663699762
Kr,cc-pcvtz,68.5179945,-1417.644233163092
Kr,cc-pcvtz,137.035989,-1312.040055390278
Kr,cc-pcvtz,274.071978,-1281.438047394423
Kr,cc-pcvtz,548.143956,-1273.427663407015
Kr,cc-pcvtz,1096.287912,-1271.39915662461
Kr,cc-pcvtz,2192.575824,-1270.89032073561
Kr,cc-pcvtz,4385.151648,-1270.763003090772
Ne,cc-pcvtz,34.25899725,-97.216808822752
Ne,cc-pcvtz,68.5179945,-94.191715391314
Ne,cc-pcvtz,137.035989,-93.454737971782
Ne,cc-pcvtz,274.071978,-93.271563177032
Ne,cc-pcvtz,548.143956,-93.225832578038
Ne,cc-pcvtz,1096.287912,-93.21440379923
Ne,cc-pcvtz,2192.575824,-93.211546845242
Ne,cc-pcvtz,4385.151648,-93.210832621771
Ar,def2-qzvpp,34.25899725,-358.795122640397
Ar,def2-qzvpp,68.5179945,-322.44724409654
Ar,def2-qzvpp,137.035989,-314.21300029458
Ar,def2-qzvpp,274.071978,-312.201933800345
Ar,def2-qzvpp,548.143956,-311.701794139875
Ar,def2-qzvpp,1096.287912,-311.57691205397
Ar,def2-qzvpp,2192.575824,-311.545700827701
Ar,def2-qzvpp,4385.151648,-311.537898597472
He,def2-qzvpp,34.25899725,-2.839171049199
He,def2-qzvpp,68.5179945,-2.835836502097
He,def2-qzvpp,137.035989,-2.83500349695
He,def2-qzvpp,274.071978,-2.834795284522
He,def2-qzvpp,548.143956,-2.834743233833
He,def2-qzvpp,1096.287912,-2.834730221312
He,def2-qzvpp,2192.575824,-2.834726968191
He,def2-qzvpp,4385.151648,-2.834726154912
Kr,def2-qzvpp,34.25899725,-2181.840990001911
Kr,def2-qzvpp,68.5179945,-1463.025558910554
Kr,def2-qzvpp,137.035989,-1315.37022173648
Kr,def2-qzvpp,274.071978,-1281.693762057005
Kr,def2-qzvpp,548.143956,-1273.456995258143
Kr,def2-qzvpp,1096.287912,-1271.407799256157
Kr,def2-qzvpp,2192.575824,-1270.896076651826
Kr,def2-qzvpp,4385.151648,-1270.768180899019
Ne,def2-qzvpp,34.25899725,-97.262665331849
Ne,def2-qzvpp,68.5179945,-94.197502074362
Ne,def2-qzvpp,137.035989,-93.457300101904
Ne,def2-qzvpp,274.071978,-93.273709429809
Ne,def2-qzvpp,548.143956,-93.227897796049
Ne,def2-qzvpp,1096.287912,-93.216450152335
Ne,def2-qzvpp,2192.575824,-93.213588568475
Ne,def2-qzvpp,4385.151648,-93.21287319292
Ar,def2-svp,34.25899725,-346.637096209047
Ar,def2-svp,68.5179945,-321.369926564404
Ar,def2-svp,137.035989,-314.003268783278
Ar,def2-svp,274.071978,-312.074066087531
Ar,def2-svp,548.143956,-311.585711071094
Ar,def2-svp,1096.287912,-311.463232638862
Ar,def2-svp,2192.575824,-311.432588487085
Ar,def2-svp,4385.151648,-311.424925912151
He,def2-svp,34.25899725,-2.830917316208
He,def2-svp,68.5179945,-2.827760283166
He,def2-svp,137.035989,-2.826970907386
He,def2-svp,274.071978,-2.826773555984
